pool,venue,track_asset,from_ts,to_ts,days,sqrtk_per_lp_from,sqrtk_per_lp_to,growth_pct,fee_apr_pct,reserve_a_to,reserve_b_to,lp_supply_to,venue_verified,source
MIN2-ADA-FLDT,minswap-v2,f5808c2c990d86da54bfc97d89cee6efa20cd8461616359478d96b4cbc53f5c2a8cf3ef64081d2ec8c74333d567fc7ef271c1b97d21fdd53a2c5c889,1784813072,1785432375,7.168,1.038162638669839872,1.038221343328053593,0.005655,0.2884,1745514795239,7395901069557,3460727158047,True,deep
MIN2-ADA-STRIKE,minswap-v2,f5808c2c990d86da54bfc97d89cee6efa20cd8461616359478d96b4c73e1518e92f367fd5820ac2da1d40ab24fbca1d6cb2c28121ad92f57aff8abce,1780262891,1785442845,59.953,1.497273727811091949,1.608586574208999879,7.434369,54.7400,1359795456856,576795461415,550558244526,True,deep
MIN2-ADA-STRIKE,minswap-v2,f5808c2c990d86da54bfc97d89cee6efa20cd8461616359478d96b4c73e1518e92f367fd5820ac2da1d40ab24fbca1d6cb2c28121ad92f57aff8abce,1782856088,1785442845,29.939,1.551297475959901088,1.608586574208999879,3.692980,55.5985,1359795456856,576795461415,550558244526,True,deep
MIN2-ADA-STRIKE,minswap-v2,f5808c2c990d86da54bfc97d89cee6efa20cd8461616359478d96b4c73e1518e92f367fd5820ac2da1d40ab24fbca1d6cb2c28121ad92f57aff8abce,1784232840,1785442845,14.005,1.599292338230808489,1.608586574208999879,0.581147,16.3025,1359795456856,576795461415,550558244526,True,deep
MIN2-ADA-STRIKE,minswap-v2,f5808c2c990d86da54bfc97d89cee6efa20cd8461616359478d96b4c73e1518e92f367fd5820ac2da1d40ab24fbca1d6cb2c28121ad92f57aff8abce,1784842248,1785442845,6.951,1.605725462308543020,1.608586574208999879,0.178182,9.7984,1359795456856,576795461415,550558244526,True,deep
MIN2-NIGHT-SNEK,minswap-v2,f5808c2c990d86da54bfc97d89cee6efa20cd8461616359478d96b4c3b3318a251bb71f8345c5affcd29645af2f56859eea740bec2a27c91027cb01d,1780253474,1785448075,60.123,1.096592385972467964,1.173648291843706958,7.026850,51.0247,7108720408503,454055011,48407425102,True,deep
MIN2-NIGHT-SNEK,minswap-v2,f5808c2c990d86da54bfc97d89cee6efa20cd8461616359478d96b4c3b3318a251bb71f8345c5affcd29645af2f56859eea740bec2a27c91027cb01d,1782848901,1785448075,30.083,1.121171380875586226,1.173648291843706958,4.680543,74.1949,7108720408503,454055011,48407425102,True,deep
MIN2-NIGHT-SNEK,minswap-v2,f5808c2c990d86da54bfc97d89cee6efa20cd8461616359478d96b4c3b3318a251bb71f8345c5affcd29645af2f56859eea740bec2a27c91027cb01d,1784231888,1785448075,14.076,1.126774548625114499,1.173648291843706958,4.159993,187.7328,7108720408503,454055011,48407425102,True,deep
MIN2-NIGHT-SNEK,minswap-v2,f5808c2c990d86da54bfc97d89cee6efa20cd8461616359478d96b4c3b3318a251bb71f8345c5affcd29645af2f56859eea740bec2a27c91027cb01d,1784834058,1785448075,7.107,1.167406628052670237,1.173648291843706958,0.534661,31.5045,7108720408503,454055011,48407425102,True,deep
MIN2-ADA-RISE,minswap-v2,f5808c2c990d86da54bfc97d89cee6efa20cd8461616359478d96b4c12f550ab6b69859eeb660a8e13e7a0e71773861120346d69fc375a93cfb34b09,1780263923,1785448022,60.001,1.010932031049142536,1.013856493813667262,0.289284,1.7728,759382879156,87740305239772,8051067800636,True,deep
MIN2-ADA-RISE,minswap-v2,f5808c2c990d86da54bfc97d89cee6efa20cd8461616359478d96b4c12f550ab6b69859eeb660a8e13e7a0e71773861120346d69fc375a93cfb34b09,1782844251,1785448022,30.136,1.012482761892599912,1.013856493813667262,0.135680,1.6557,759382879156,87740305239772,8051067800636,True,deep
MIN2-ADA-RISE,minswap-v2,f5808c2c990d86da54bfc97d89cee6efa20cd8461616359478d96b4c12f550ab6b69859eeb660a8e13e7a0e71773861120346d69fc375a93cfb34b09,1784232779,1785448022,14.065,1.013209967597488866,1.013856493813667262,0.063810,1.6691,759382879156,87740305239772,8051067800636,True,deep
MIN2-ADA-RISE,minswap-v2,f5808c2c990d86da54bfc97d89cee6efa20cd8461616359478d96b4c12f550ab6b69859eeb660a8e13e7a0e71773861120346d69fc375a93cfb34b09,1784842237,1785448022,7.011,1.013627933324992332,1.013856493813667262,0.022549,1.1806,759382879156,87740305239772,8051067800636,True,deep
MIN2-ADA-SURF,minswap-v2,f5808c2c990d86da54bfc97d89cee6efa20cd8461616359478d96b4cb623827076d8b01e7529a77d9f0a9c2fb863dc9aa36416a4ebb12f9d0a6e7f15,1780263704,1785442867,59.944,1.193636261692667099,1.260025016107758671,5.561892,39.0386,720488783986,919919942973,646114461596,True,deep
MIN2-ADA-SURF,minswap-v2,f5808c2c990d86da54bfc97d89cee6efa20cd8461616359478d96b4cb623827076d8b01e7529a77d9f0a9c2fb863dc9aa36416a4ebb12f9d0a6e7f15,1782844714,1785442867,30.071,1.212636895967915968,1.260025016107758671,3.907857,59.2486,720488783986,919919942973,646114461596,True,deep
MIN2-ADA-SURF,minswap-v2,f5808c2c990d86da54bfc97d89cee6efa20cd8461616359478d96b4cb623827076d8b01e7529a77d9f0a9c2fb863dc9aa36416a4ebb12f9d0a6e7f15,1784233752,1785442867,13.994,1.247219834898228526,1.260025016107758671,1.026698,30.5279,720488783986,919919942973,646114461596,True,deep
MIN2-ADA-SURF,minswap-v2,f5808c2c990d86da54bfc97d89cee6efa20cd8461616359478d96b4cb623827076d8b01e7529a77d9f0a9c2fb863dc9aa36416a4ebb12f9d0a6e7f15,1784836130,1785442867,7.022,1.254168754071545671,1.260025016107758671,0.466944,27.3967,720488783986,919919942973,646114461596,True,deep
MIN2-ADA-NVL,minswap-v2,f5808c2c990d86da54bfc97d89cee6efa20cd8461616359478d96b4c43b22eef6f266e5173845f0c4b883ae8f7f3e54eb35ffb2848a29290f4968819,1780263606,1785447614,60.0,1.207896039930137931,1.214118586034804059,0.515156,3.1752,671710112982,663920583148,550031931249,True,deep
MIN2-ADA-NVL,minswap-v2,f5808c2c990d86da54bfc97d89cee6efa20cd8461616359478d96b4c43b22eef6f266e5173845f0c4b883ae8f7f3e54eb35ffb2848a29290f4968819,1782845986,1785447614,30.111,1.211228539615323634,1.214118586034804059,0.238605,2.9310,671710112982,663920583148,550031931249,True,deep
MIN2-ADA-NVL,minswap-v2,f5808c2c990d86da54bfc97d89cee6efa20cd8461616359478d96b4c43b22eef6f266e5173845f0c4b883ae8f7f3e54eb35ffb2848a29290f4968819,1784232230,1785447614,14.067,1.213056228438609387,1.214118586034804059,0.087577,2.2974,671710112982,663920583148,550031931249,True,deep
MIN2-ADA-NVL,minswap-v2,f5808c2c990d86da54bfc97d89cee6efa20cd8461616359478d96b4c43b22eef6f266e5173845f0c4b883ae8f7f3e54eb35ffb2848a29290f4968819,1784818494,1785447614,7.281,1.213550141548352673,1.214118586034804059,0.046841,2.3752,671710112982,663920583148,550031931249,True,deep
MIN2-NIGHT-USDCx,minswap-v2,f5808c2c990d86da54bfc97d89cee6efa20cd8461616359478d96b4c70cabd53edd98d4ffc20d46d9f246ed14b61b3fa7c681c268e86c2a196b0947d,1780263963,1785448075,60.001,1.825077317992882821,1.870092244380488467,2.466467,15.9768,6081104067549,112768112855,442814002026,True,deep
MIN2-NIGHT-USDCx,minswap-v2,f5808c2c990d86da54bfc97d89cee6efa20cd8461616359478d96b4c70cabd53edd98d4ffc20d46d9f246ed14b61b3fa7c681c268e86c2a196b0947d,1782855889,1785448075,30.002,1.836908007420608808,1.870092244380488467,1.806527,24.3359,6081104067549,112768112855,442814002026,True,deep
MIN2-NIGHT-USDCx,minswap-v2,f5808c2c990d86da54bfc97d89cee6efa20cd8461616359478d96b4c70cabd53edd98d4ffc20d46d9f246ed14b61b3fa7c681c268e86c2a196b0947d,1784237640,1785448075,14.01,1.840561936797027168,1.870092244380488467,1.604418,51.3899,6081104067549,112768112855,442814002026,True,deep
MIN2-NIGHT-USDCx,minswap-v2,f5808c2c990d86da54bfc97d89cee6efa20cd8461616359478d96b4c70cabd53edd98d4ffc20d46d9f246ed14b61b3fa7c681c268e86c2a196b0947d,1784841947,1785448075,7.015,1.863307796709357061,1.870092244380488467,0.364108,20.8157,6081104067549,112768112855,442814002026,True,deep
MIN2-ADA-ASCEND,minswap-v2,f5808c2c990d86da54bfc97d89cee6efa20cd8461616359478d96b4ce66195788208dcd363edb600eaf2331019e3599baba645d81d61ef060c82d861,1780264071,1785448052,60.0,1.092987307562977592,1.154214600641166069,5.601830,39.3163,681562056950,1782485000880,954946586689,True,deep
MIN2-ADA-ASCEND,minswap-v2,f5808c2c990d86da54bfc97d89cee6efa20cd8461616359478d96b4ce66195788208dcd363edb600eaf2331019e3599baba645d81d61ef060c82d861,1782852243,1785448052,30.044,1.130774778950400503,1.154214600641166069,2.072899,28.3073,681562056950,1782485000880,954946586689,True,deep
MIN2-ADA-ASCEND,minswap-v2,f5808c2c990d86da54bfc97d89cee6efa20cd8461616359478d96b4ce66195788208dcd363edb600eaf2331019e3599baba645d81d61ef060c82d861,1784232801,1785448052,14.065,1.147006718262498189,1.154214600641166069,0.628408,17.6522,681562056950,1782485000880,954946586689,True,deep
MIN2-ADA-ASCEND,minswap-v2,f5808c2c990d86da54bfc97d89cee6efa20cd8461616359478d96b4ce66195788208dcd363edb600eaf2331019e3599baba645d81d61ef060c82d861,1784840287,1785448052,7.034,1.150704652053345820,1.154214600641166069,0.305026,17.1204,681562056950,1782485000880,954946586689,True,deep
MIN2-ADA-HOSKY,minswap-v2,f5808c2c990d86da54bfc97d89cee6efa20cd8461616359478d96b4ca449f98fa06fff1d6c17b95c65ca609660049dc683cc3e94d3846b05419fc20d,1780262891,1785438003,59.897,1.145656904544358697,1.151036847413907444,0.469595,2.8961,573240740946,15487555568008,2588634509309,True,deep
MIN2-ADA-HOSKY,minswap-v2,f5808c2c990d86da54bfc97d89cee6efa20cd8461616359478d96b4ca449f98fa06fff1d6c17b95c65ca609660049dc683cc3e94d3846b05419fc20d,1782848633,1785438003,29.97,1.148788019639797158,1.151036847413907444,0.195757,2.4104,573240740946,15487555568008,2588634509309,True,deep
MIN2-ADA-HOSKY,minswap-v2,f5808c2c990d86da54bfc97d89cee6efa20cd8461616359478d96b4ca449f98fa06fff1d6c17b95c65ca609660049dc683cc3e94d3846b05419fc20d,1784223081,1785438003,14.062,1.150096719495801008,1.151036847413907444,0.081743,2.1436,573240740946,15487555568008,2588634509309,True,deep
MIN2-ADA-HOSKY,minswap-v2,f5808c2c990d86da54bfc97d89cee6efa20cd8461616359478d96b4ca449f98fa06fff1d6c17b95c65ca609660049dc683cc3e94d3846b05419fc20d,1784821662,1785438003,7.134,1.150669232123388218,1.151036847413907444,0.031948,1.6478,573240740946,15487555568008,2588634509309,True,deep
MIN2-ADA-DJED,minswap-v2,f5808c2c990d86da54bfc97d89cee6efa20cd8461616359478d96b4ca939812d08cfb6066e17d2914a7272c6b8c0197acdf68157d02c73649cc3efc0,1780256016,1785436073,59.954,1.330870848335458180,1.355218209748557183,1.829431,11.6690,565200103837,98030771542,173689313367,True,deep
MIN2-ADA-DJED,minswap-v2,f5808c2c990d86da54bfc97d89cee6efa20cd8461616359478d96b4ca939812d08cfb6066e17d2914a7272c6b8c0197acdf68157d02c73649cc3efc0,1782855588,1785436073,29.867,1.345368926819218453,1.355218209748557183,0.732088,9.3236,565200103837,98030771542,173689313367,True,deep
MIN2-ADA-DJED,minswap-v2,f5808c2c990d86da54bfc97d89cee6efa20cd8461616359478d96b4ca939812d08cfb6066e17d2914a7272c6b8c0197acdf68157d02c73649cc3efc0,1784235517,1785436073,13.895,1.349761087418627724,1.355218209748557183,0.404303,11.1808,565200103837,98030771542,173689313367,True,deep
MIN2-ADA-DJED,minswap-v2,f5808c2c990d86da54bfc97d89cee6efa20cd8461616359478d96b4ca939812d08cfb6066e17d2914a7272c6b8c0197acdf68157d02c73649cc3efc0,1784842237,1785436073,6.873,1.353463154973000847,1.355218209748557183,0.129671,7.1241,565200103837,98030771542,173689313367,True,deep
MIN2-MIN-USDM,minswap-v2,f5808c2c990d86da54bfc97d89cee6efa20cd8461616359478d96b4cb950921763ce10c2600579460a4a40ba0c286bfab6497acd09ae0cd8b2ef687d,1780254801,1785447664,60.103,1.184991044512468770,1.193064029027633678,0.681270,4.2095,30385788514417,92501751398,1405226985752,True,deep
MIN2-MIN-USDM,minswap-v2,f5808c2c990d86da54bfc97d89cee6efa20cd8461616359478d96b4cb950921763ce10c2600579460a4a40ba0c286bfab6497acd09ae0cd8b2ef687d,1782848657,1785447664,30.081,1.188992475551364671,1.193064029027633678,0.342437,4.2352,30385788514417,92501751398,1405226985752,True,deep
MIN2-MIN-USDM,minswap-v2,f5808c2c990d86da54bfc97d89cee6efa20cd8461616359478d96b4cb950921763ce10c2600579460a4a40ba0c286bfab6497acd09ae0cd8b2ef687d,1784235476,1785447664,14.03,1.190333166279008984,1.193064029027633678,0.229420,6.1430,30385788514417,92501751398,1405226985752,True,deep
MIN2-MIN-USDM,minswap-v2,f5808c2c990d86da54bfc97d89cee6efa20cd8461616359478d96b4cb950921763ce10c2600579460a4a40ba0c286bfab6497acd09ae0cd8b2ef687d,1784831874,1785447664,7.127,1.192378888355633573,1.193064029027633678,0.057460,2.9855,30385788514417,92501751398,1405226985752,True,deep
MIN2-ADA-IAG,minswap-v2,f5808c2c990d86da54bfc97d89cee6efa20cd8461616359478d96b4c7b12f25ce8d6f424e1edbc8b61f0742fb13252605f31dc40373d6a245e8ec1d1,1780264071,1785446486,59.982,1.387069215044160215,1.428802618531039020,3.008747,19.7682,500987066224,3921080486919,980943283795,True,deep
MIN2-ADA-IAG,minswap-v2,f5808c2c990d86da54bfc97d89cee6efa20cd8461616359478d96b4c7b12f25ce8d6f424e1edbc8b61f0742fb13252605f31dc40373d6a245e8ec1d1,1782842238,1785446486,30.142,1.415840360394559957,1.428802618531039020,0.915517,11.6680,500987066224,3921080486919,980943283795,True,deep
MIN2-ADA-IAG,minswap-v2,f5808c2c990d86da54bfc97d89cee6efa20cd8461616359478d96b4c7b12f25ce8d6f424e1edbc8b61f0742fb13252605f31dc40373d6a245e8ec1d1,1784231029,1785446486,14.068,1.421127938216154325,1.428802618531039020,0.540041,14.9976,500987066224,3921080486919,980943283795,True,deep
MIN2-ADA-IAG,minswap-v2,f5808c2c990d86da54bfc97d89cee6efa20cd8461616359478d96b4c7b12f25ce8d6f424e1edbc8b61f0742fb13252605f31dc40373d6a245e8ec1d1,1784841400,1785446486,7.003,1.425164429118474380,1.428802618531039020,0.255282,14.2112,500987066224,3921080486919,980943283795,True,deep
MIN2-ADA-STUFF,minswap-v2,f5808c2c990d86da54bfc97d89cee6efa20cd8461616359478d96b4cb68d128216cd07ee83667f1f5d2b65999b034161d88fada290eb5a9a6960c456,1780262363,1785446626,60.003,1.052208256332126863,1.059704410178723296,0.712421,4.4129,484160021997,150406811359145,8052736221779,True,deep
MIN2-ADA-STUFF,minswap-v2,f5808c2c990d86da54bfc97d89cee6efa20cd8461616359478d96b4cb68d128216cd07ee83667f1f5d2b65999b034161d88fada290eb5a9a6960c456,1782855540,1785446626,29.989,1.055656156000496843,1.059704410178723296,0.383482,4.7686,484160021997,150406811359145,8052736221779,True,deep
MIN2-ADA-STUFF,minswap-v2,f5808c2c990d86da54bfc97d89cee6efa20cd8461616359478d96b4cb68d128216cd07ee83667f1f5d2b65999b034161d88fada290eb5a9a6960c456,1784237563,1785446626,13.994,1.057447831213623248,1.059704410178723296,0.213399,5.7176,484160021997,150406811359145,8052736221779,True,deep
MIN2-ADA-STUFF,minswap-v2,f5808c2c990d86da54bfc97d89cee6efa20cd8461616359478d96b4cb68d128216cd07ee83667f1f5d2b65999b034161d88fada290eb5a9a6960c456,1784843139,1785446626,6.985,1.058655902069050615,1.059704410178723296,0.099041,5.3091,484160021997,150406811359145,8052736221779,True,deep
MIN2-ADA-SURGE,minswap-v2,f5808c2c990d86da54bfc97d89cee6efa20cd8461616359478d96b4cab2bc7cba8f1e4edbfbb83b630082ba6d711b7059dad402baa636d0e355732d5,1780261311,1785442979,59.973,1.010290433156921001,1.010977355641666085,0.067993,0.4145,506010638474,3291517922109,1276546113503,True,deep
MIN2-ADA-SURGE,minswap-v2,f5808c2c990d86da54bfc97d89cee6efa20cd8461616359478d96b4cab2bc7cba8f1e4edbfbb83b630082ba6d711b7059dad402baa636d0e355732d5,1782853408,1785442979,29.972,1.010725045179185086,1.010977355641666085,0.024963,0.3044,506010638474,3291517922109,1276546113503,True,deep
MIN2-ADA-SURGE,minswap-v2,f5808c2c990d86da54bfc97d89cee6efa20cd8461616359478d96b4cab2bc7cba8f1e4edbfbb83b630082ba6d711b7059dad402baa636d0e355732d5,1784236453,1785442979,13.964,1.010855623113088327,1.010977355641666085,0.012043,0.3152,506010638474,3291517922109,1276546113503,True,deep
MIN2-ADA-SURGE,minswap-v2,f5808c2c990d86da54bfc97d89cee6efa20cd8461616359478d96b4cab2bc7cba8f1e4edbfbb83b630082ba6d711b7059dad402baa636d0e355732d5,1784828813,1785442979,7.108,1.010953756029735100,1.010977355641666085,0.002334,0.1199,506010638474,3291517922109,1276546113503,True,deep
MIN2-ADA-iUSD,minswap-v2,f5808c2c990d86da54bfc97d89cee6efa20cd8461616359478d96b4c452089abb5bf8cc59b678a2cd7b9ee952346c6c0aa1cf27df324310a70d02fc3,1780257360,1785433638,59.911,1.155815354012280436,1.179655899689428237,2.062660,13.2454,480835336872,82838569683,169183942116,True,deep
MIN2-ADA-iUSD,minswap-v2,f5808c2c990d86da54bfc97d89cee6efa20cd8461616359478d96b4c452089abb5bf8cc59b678a2cd7b9ee952346c6c0aa1cf27df324310a70d02fc3,1782848657,1785433638,29.919,1.172542944685450063,1.179655899689428237,0.606626,7.6573,480835336872,82838569683,169183942116,True,deep
MIN2-ADA-iUSD,minswap-v2,f5808c2c990d86da54bfc97d89cee6efa20cd8461616359478d96b4c452089abb5bf8cc59b678a2cd7b9ee952346c6c0aa1cf27df324310a70d02fc3,1784235476,1785433638,13.868,1.175071362568543626,1.179655899689428237,0.390150,10.7925,480835336872,82838569683,169183942116,True,deep
MIN2-ADA-iUSD,minswap-v2,f5808c2c990d86da54bfc97d89cee6efa20cd8461616359478d96b4c452089abb5bf8cc59b678a2cd7b9ee952346c6c0aa1cf27df324310a70d02fc3,1784837232,1785433638,6.903,1.178508726756069298,1.179655899689428237,0.097341,5.2792,480835336872,82838569683,169183942116,True,deep
MIN2-ADA-LQ,minswap-v2,f5808c2c990d86da54bfc97d89cee6efa20cd8461616359478d96b4c6263e0101384dace4d7a8dadf0e6d45c8d43c8872604118ee82e3f2212934917,1780240709,1785442224,60.203,1.184798985301829525,1.194343443614225944,0.805576,4.9848,462502213516,471643063845,391051903247,True,deep
MIN2-ADA-LQ,minswap-v2,f5808c2c990d86da54bfc97d89cee6efa20cd8461616359478d96b4c6263e0101384dace4d7a8dadf0e6d45c8d43c8872604118ee82e3f2212934917,1782834634,1785442224,30.18,1.191769701739418056,1.194343443614225944,0.215960,2.6433,462502213516,471643063845,391051903247,True,deep
MIN2-ADA-LQ,minswap-v2,f5808c2c990d86da54bfc97d89cee6efa20cd8461616359478d96b4c6263e0101384dace4d7a8dadf0e6d45c8d43c8872604118ee82e3f2212934917,1784183224,1785442224,14.572,1.193138428695575917,1.194343443614225944,0.100995,2.5607,462502213516,471643063845,391051903247,True,deep
MIN2-ADA-LQ,minswap-v2,f5808c2c990d86da54bfc97d89cee6efa20cd8461616359478d96b4c6263e0101384dace4d7a8dadf0e6d45c8d43c8872604118ee82e3f2212934917,1784832656,1785442224,7.055,1.194114331266928368,1.194343443614225944,0.019187,0.9975,462502213516,471643063845,391051903247,True,deep
MIN2-ADA-FET,minswap-v2,f5808c2c990d86da54bfc97d89cee6efa20cd8461616359478d96b4c2420c54e1cbc279cde73bff197b8e90bd51fa4b53f95e4a7b8a22107c0583d23,1780259281,1785372241,59.178,1.192881056753375613,1.201567491506945702,0.728190,4.5767,409290256184,46668385882531,3637298328303,True,deep
